Nome,Latitudine,Longitudine,Categoria
Alimentari & Mini Market,45.4647685,9.091793599999999,grocery
L' Amichetta di Katiuscia Andolina,45.476888,9.0906394,grocery
Coop,45.4705551,9.1089439,grocery
ASIAN STORE,45.47545179999999,9.0906659,grocery
Coop,45.4763988,9.087644899999999,grocery
La Boutique del Gusto,45.4639542,9.0928162,grocery
Carrefour Italia,45.477063,9.1021246,grocery
Fruttivendolo,45.467507,9.1379656,grocery
Mostafa Mini Market,45.4660821,9.1276125,grocery
Prima Scelta,45.4699685,9.134460599999999,grocery
Il Frutteto di Sempre,45.4655992,9.136396999999999,grocery
Nadia Mini Market,45.4694224,9.1324577,grocery
Il Frutteto,45.4696266,9.1255107,grocery
Mini Market Italia 2,45.47391870000001,9.1346273,grocery
Pag Asa Int L Grocery,45.4688046,9.132648399999999,grocery
MINI MARKET MILANBANGLA,45.4701803,9.1347506,grocery
Produse romanesti,45.46830509999999,9.1374491,grocery
Macelleria e Minimarket di Muhit,45.467392,9.129918199999999,grocery
Orto Frutta,45.466088,9.1366585,grocery
Carrefour Market - Supermarket,45.4653707,9.1382545,grocery
Rondo Minimarket,45.4675123,9.137734799999999,grocery
Mini Market Di Miah,45.46265289999999,9.1389979,grocery
Mini Market,45.4735927,9.1414095,grocery
4JB Minimarket,45.4736527,9.1401732,grocery
Aretusa Bakery,45.468268,9.1374461,grocery
Spesa Si,45.46664759999999,9.129346199999999,grocery
Alimentari,45.4669926,9.1291596,grocery
Albuzzi Livio,45.4968175,9.1336126,grocery
PENNY.,45.5025006,9.1377021,grocery
A.R Mini Market,45.5089228,9.1322432,grocery
Esselunga Clicca e vai,45.5070864,9.1379926,grocery
Carrefour Market,45.4953063,9.1241718,grocery
Mini Market Nacho Negozio Alimentari,45.4975648,9.141874399999999,grocery
La Mediterranea (ambulante squisitezze dalla Campania),45.49482260000001,9.1208276,grocery
New Food Srl,45.50168850000001,9.122646,grocery
fresco mini market,45.4949648,9.1402156,grocery
Il Capriccio,45.49698919999999,9.1118541,grocery
Panetteria G & G Antonella e Claudio,45.4908854,9.1217405,grocery
CONAD,45.5032577,9.1272483,grocery
Lidl,45.4976711,9.137274699999999,grocery
Alimentari Gallarate,45.4947179,9.1392552,grocery
Alimentari,45.4908014,9.1215624,grocery
Esselunga,45.5073502,9.1380082,grocery
Bellomo Pietro e Pavesi Barbara Snc,45.5039775,9.100911,grocery
Bellavia Minimarket,45.4996226,9.150263299999999,grocery
Green Minimarket,45.4948813,9.154069999999999,grocery
T Market,45.49639699999999,9.1465806,grocery
Ceylon Minimarket,45.4991742,9.1437464,grocery
Salumeria Villapizzone,45.49922129999999,9.1505227,grocery
Royal Minimarket,45.5121419,9.1273842,grocery
Duchha Minimarket,45.5193611,9.132948599999999,grocery
IN’S Discount - Spaccaprezzi,45.5154095,9.1394861,grocery
La Boutique del Pane,45.5099429,9.133080699999999,grocery
SUNRISE MINI MARKET,45.4910889,9.1523414,grocery
International Mini Market,45.4978556,9.1452966,grocery
Sigma supermercati,45.5155284,9.1277885,grocery
Jago-Minimarket,45.5168731,9.1383643,grocery
Zara & Zarib - Super Spesa,45.49309040000001,9.151324599999999,grocery
Himalay Alimentari,45.4995603,9.1510224,grocery
Mini market,45.5194745,9.169706999999999,grocery
Mini Market,45.5031693,9.1613259,grocery
iN's Mercato,45.51547679999999,9.1397472,grocery
Fruttivendolo,45.5252527,9.160901899999999,grocery
International MiniMarket Alimentari,45.5153965,9.170007499999999,grocery
Penny Market,45.5021996,9.1669938,grocery
Super Discount Shop,45.5012463,9.1661801,grocery
Asian Bazar,45.5190043,9.1702005,grocery
Samiya minimarket,45.5152881,9.145364899999999,grocery
Sylhet Mini Market Bangladesh,45.5023163,9.1659998,grocery
Md Lavlu Md Ansher Alimentari,45.51822689999999,9.1708895,grocery
Panetteria AMINA,45.5230671,9.1709199,grocery
Index Minimarket,45.5005679,9.1672409,grocery
